#C_W: azoxystrobin concentration in mug/L
#t_day: time in days
#length_mm: measured daphnid length in mm

index,C_W,t_day,length_mm
216,2.0,14,3.93
217,2.0,16,3.68
218,2.0,18,4.14
219,2.0,21,4.06
220,2.0,0,0.86
221,2.0,2,1.14
222,2.0,4,1.45
223,2.0,7,2.74
224,2.0,9,2.43
225,2.0,11,3.45
226,2.0,14,3.85
227,2.0,16,3.95
228,2.0,18,4.35
229,2.0,21,3.91
230,2.0,0,0.92
231,2.0,2,1.22
232,2.0,4,1.64
233,2.0,7,3.03
234,2.0,9,3.1
235,2.0,11,
236,2.0,14,
237,2.0,16,
238,2.0,18,
239,2.0,21,
240,2.0,0,0.83
241,2.0,2,1.15
242,2.0,4,1.48
243,2.0,7,
244,2.0,9,
245,2.0,11,
246,2.0,14,
247,2.0,16,
248,2.0,18,
249,2.0,21,
250,2.0,0,0.72
251,2.0,2,1.04
252,2.0,4,1.79
253,2.0,7,2.56
254,2.0,9,2.44
255,2.0,11,2.71
256,2.0,14,3.13
257,2.0,16,3.43
258,2.0,18,3.62
259,2.0,21,3.93
260,2.0,0,0.79
261,2.0,2,1.0
262,2.0,4,1.94
263,2.0,7,2.63
264,2.0,9,2.42
265,2.0,11,3.06
266,2.0,14,3.85
267,2.0,16,3.93
268,2.0,18,3.98
269,2.0,21,4.07
270,2.0,0,0.87
271,2.0,2,1.15
272,2.0,4,1.45
273,2.0,7,2.88
274,2.0,9,2.74
275,2.0,11,3.69
276,2.0,14,3.66
277,2.0,16,3.77
278,2.0,18,3.7
279,2.0,21,4.07
280,2.0,0,0.83
281,2.0,2,1.09
282,2.0,4,2.08
283,2.0,7,2.57
284,2.0,9,2.83
285,2.0,11,3.58
286,2.0,14,3.8
287,2.0,16,3.85
288,2.0,18,3.71
289,2.0,21,3.85
290,2.0,0,0.9
291,2.0,2,1.23
292,2.0,4,1.65
293,2.0,7,3.21
294,2.0,9,3.11
295,2.0,11,3.54
296,2.0,14,3.48
297,2.0,16,3.95
298,2.0,18,3.88
299,2.0,21,4.45
300,10.0,0,0.96
301,10.0,2,1.28
302,10.0,4,1.81
303,10.0,7,2.98
304,10.0,9,2.81
305,10.0,11,3.69
306,10.0,14,4.02
307,10.0,16,3.94
308,10.0,18,3.63
309,10.0,21,4.31
310,10.0,0,0.82
311,10.0,2,0.95
312,10.0,4,1.94
313,10.0,7,2.66
314,10.0,9,2.7
315,10.0,11,3.44
316,10.0,14,4.18
317,10.0,16,3.79
318,10.0,18,3.75
319,10.0,21,3.9
320,10.0,0,0.98
321,10.0,2,1.2
322,10.0,4,1.69
323,10.0,7,3.26
324,10.0,9,3.04
325,10.0,11,3.64
326,10.0,14,3.7
327,10.0,16,3.91
328,10.0,18,3.95
329,10.0,21,
330,10.0,0,0.92
331,10.0,2,1.15
332,10.0,4,2.11
333,10.0,7,2.81
334,10.0,9,3.03
335,10.0,11,3.75
336,10.0,14,3.91
337,10.0,16,3.9
338,10.0,18,4.0
339,10.0,21,4.05
340,10.0,0,0.9
341,10.0,2,1.24
342,10.0,4,1.61
343,10.0,7,2.72
344,10.0,9,3.02
345,10.0,11,3.51
346,10.0,14,3.9
347,10.0,16,3.73
348,10.0,18,3.72
349,10.0,21,4.03
350,10.0,0,0.85
351,10.0,2,1.46
352,10.0,4,2.1
353,10.0,7,2.98
354,10.0,9,2.73
355,10.0,11,3.54
356,10.0,14,3.69
357,10.0,16,3.7
358,10.0,18,3.97
359,10.0,21,3.98
360,10.0,0,0.88
361,10.0,2,1.24
362,10.0,4,1.63
363,10.0,7,2.97
364,10.0,9,2.77
365,10.0,11,3.54
366,10.0,14,
367,10.0,16,3.58
368,10.0,18,3.7
369,10.0,21,3.8
370,10.0,0,0.79
371,10.0,2,0.96
372,10.0,4,1.8
373,10.0,7,2.33
374,10.0,9,2.96
375,10.0,11,3.08
376,10.0,14,3.54
377,10.0,16,3.49
378,10.0,18,3.72
379,10.0,21,4.01
380,10.0,0,0.97
381,10.0,2,1.24
382,10.0,4,1.7
383,10.0,7,2.93
384,10.0,9,2.98
385,10.0,11,3.75
386,10.0,14,4.18
387,10.0,16,4.04
388,10.0,18,3.91
389,10.0,21,4.32
390,10.0,0,0.85
391,10.0,2,0.99
392,10.0,4,1.85
393,10.0,7,2.77
394,10.0,9,2.61
395,10.0,11,3.55
396,10.0,14,3.8
397,10.0,16,3.61
398,10.0,18,4.01
399,10.0,21,4.01
400,10.0,0,0.8
401,10.0,2,1.09
402,10.0,4,2.04
403,10.0,7,2.86
404,10.0,9,2.55
405,10.0,11,3.43
406,10.0,14,3.73
407,10.0,16,3.5
408,10.0,18,3.56
409,10.0,21,3.96
410,10.0,0,1.01
411,10.0,2,1.26
412,10.0,4,1.78
413,10.0,7,2.85
414,10.0,9,3.02
415,10.0,11,3.45
416,10.0,14,3.67
417,10.0,16,3.81
418,10.0,18,3.83
419,10.0,21,4.01
420,10.0,0,0.83
421,10.0,2,1.43
422,10.0,4,2.2
423,10.0,7,2.92
424,10.0,9,2.75
425,10.0,11,3.44
426,10.0,14,3.62
427,10.0,16,3.79
428,10.0,18,3.81
429,10.0,21,4.11
430,10.0,0,0.75
431,10.0,2,1.29
432,10.0,4,1.75
433,10.0,7,2.4
434,10.0,9,2.55
435,10.0,11,3.14
436,10.0,14,3.62
437,10.0,16,3.49
438,10.0,18,3.64
439,10.0,21,3.76
440,10.0,0,0.79
441,10.0,2,1.0
442,10.0,4,2.02
443,10.0,7,2.6
444,10.0,9,2.74
445,10.0,11,3.31
446,10.0,14,3.4
447,10.0,16,3.65
448,10.0,18,4.01
449,10.0,21,3.97
450,40.0,0,0.76
451,40.0,2,1.06
452,40.0,4,2.03
453,40.0,7,2.96
454,40.0,9,2.63
455,40.0,11,3.48
456,40.0,14,3.68
457,40.0,16,4.06
458,40.0,18,3.9
459,40.0,21,3.97
460,40.0,0,0.92
461,40.0,2,1.22
462,40.0,4,1.62
463,40.0,7,2.9
464,40.0,9,2.87
465,40.0,11,3.73
466,40.0,14,3.54
467,40.0,16,4.44
468,40.0,18,4.08
469,40.0,21,4.28
470,40.0,0,0.93
471,40.0,2,1.27
472,40.0,4,1.85
473,40.0,7,2.81
474,40.0,9,3.09
475,40.0,11,3.89
476,40.0,14,3.93
477,40.0,16,4.29
478,40.0,18,3.67
479,40.0,21,4.29
480,40.0,0,0.89
481,40.0,2,1.24
482,40.0,4,1.53
483,40.0,7,2.99
484,40.0,9,3.1
485,40.0,11,3.93
486,40.0,14,3.63
487,40.0,16,3.64
488,40.0,18,4.15
489,40.0,21,4.05
490,40.0,0,0.82
491,40.0,2,1.13
492,40.0,4,1.5
493,40.0,7,2.67
494,40.0,9,3.05
495,40.0,11,3.38
496,40.0,14,3.74
497,40.0,16,3.78
498,40.0,18,4.31
499,40.0,21,4.22
500,40.0,0,0.74
501,40.0,2,1.23
502,40.0,4,1.72
503,40.0,7,3.1
504,40.0,9,2.97
505,40.0,11,3.77
506,40.0,14,3.54
507,40.0,16,3.52
508,40.0,18,3.68
509,40.0,21,4.19
510,40.0,0,0.84
511,40.0,2,1.15
512,40.0,4,1.58
513,40.0,7,3.0
514,40.0,9,3.04
515,40.0,11,3.64
516,40.0,14,3.54
517,40.0,16,3.7
518,40.0,18,3.79
519,40.0,21,3.99
520,40.0,0,0.89
521,40.0,2,1.09
522,40.0,4,2.05
523,40.0,7,2.79
524,40.0,9,2.8
525,40.0,11,3.54
526,40.0,14,3.87
527,40.0,16,4.31
528,40.0,18,4.06
529,40.0,21,4.11
530,40.0,0,0.83
531,40.0,2,1.46
532,40.0,4,1.94
533,40.0,7,2.74
534,40.0,9,2.95
535,40.0,11,3.53
536,40.0,14,3.58
537,40.0,16,3.75
538,40.0,18,3.85
539,40.0,21,3.94
540,40.0,0,0.81
541,40.0,2,1.04
542,40.0,4,1.89
543,40.0,7,2.63
544,40.0,9,2.64
545,40.0,11,3.45
546,40.0,14,3.87
547,40.0,16,3.84
548,40.0,18,3.79
549,40.0,21,4.21
550,40.0,0,0.73
551,40.0,2,1.02
552,40.0,4,1.75
553,40.0,7,2.69
554,40.0,9,2.61
555,40.0,11,3.72
556,40.0,14,4.0
557,40.0,16,3.76
558,40.0,18,4.15
559,40.0,21,4.13
560,40.0,0,0.76
561,40.0,2,0.94
562,40.0,4,1.32
563,40.0,7,2.42
564,40.0,9,2.56
565,40.0,11,3.73
566,40.0,14,3.59
567,40.0,16,3.59
568,40.0,18,3.72
569,40.0,21,4.08
570,40.0,0,0.77
571,40.0,2,1.39
572,40.0,4,1.8
573,40.0,7,2.6
574,40.0,9,2.79
575,40.0,11,3.51
576,40.0,14,4.07
577,40.0,16,3.8
578,40.0,18,4.42
579,40.0,21,4.3
580,40.0,0,0.72
581,40.0,2,0.89
582,40.0,4,1.61
583,40.0,7,2.29
584,40.0,9,2.91
585,40.0,11,2.89
586,40.0,14,3.93
587,40.0,16,3.6
588,40.0,18,3.67
589,40.0,21,4.04
590,40.0,0,0.94
591,40.0,2,1.27
592,40.0,4,1.78
593,40.0,7,2.77
594,40.0,9,2.75
595,40.0,11,3.62
596,40.0,14,3.54
597,40.0,16,4.41
598,40.0,18,3.7
599,40.0,21,3.9
600,100.0,0,0.73
601,100.0,2,0.97
602,100.0,4,1.3
603,100.0,7,2.68
604,100.0,9,2.45
605,100.0,11,3.29
606,100.0,14,3.47
607,100.0,16,3.62
608,100.0,18,3.85
609,100.0,21,3.9
610,100.0,0,0.85
611,100.0,2,1.01
612,100.0,4,1.45
613,100.0,7,2.74
614,100.0,9,2.66
615,100.0,11,3.34
616,100.0,14,3.14
617,100.0,16,2.88
618,100.0,18,3.52
619,100.0,21,3.67
620,100.0,0,0.79
621,100.0,2,1.37
622,100.0,4,1.9
623,100.0,7,2.41
624,100.0,9,2.55
625,100.0,11,3.03
626,100.0,14,3.36
627,100.0,16,3.19
628,100.0,18,3.52
629,100.0,21,3.57
630,100.0,0,0.98
631,100.0,2,1.28
632,100.0,4,1.74
633,100.0,7,2.24
634,100.0,9,2.98
635,100.0,11,2.81
636,100.0,14,3.68
637,100.0,16,3.48
638,100.0,18,3.71
639,100.0,21,4.14
640,100.0,0,0.97
641,100.0,2,1.28
642,100.0,4,1.7
643,100.0,7,3.11
644,100.0,9,3.06
645,100.0,11,3.54
646,100.0,14,3.93
647,100.0,16,3.75
648,100.0,18,3.81
649,100.0,21,4.15
650,100.0,0,0.82
651,100.0,2,1.01
652,100.0,4,1.87
653,100.0,7,2.53
654,100.0,9,
655,100.0,11,3.28
656,100.0,14,3.66
657,100.0,16,3.56
658,100.0,18,3.85
659,100.0,21,3.88
660,100.0,0,0.79
661,100.0,2,1.5
662,100.0,4,2.03
663,100.0,7,2.84
664,100.0,9,2.69
665,100.0,11,3.67
666,100.0,14,3.8
667,100.0,16,3.71
668,100.0,18,3.79
669,100.0,21,3.91
670,100.0,0,0.94
671,100.0,2,1.07
672,100.0,4,1.9
673,100.0,7,2.74
674,100.0,9,2.94
675,100.0,11,3.26
676,100.0,14,3.66
677,100.0,16,3.92
678,100.0,18,3.97
679,100.0,21,4.27
680,100.0,0,0.98
681,100.0,2,1.34
682,100.0,4,1.69
683,100.0,7,3.06
684,100.0,9,3.0
685,100.0,11,3.44
686,100.0,14,3.68
687,100.0,16,3.76
688,100.0,18,3.78
689,100.0,21,3.98
690,100.0,0,1.01
691,100.0,2,1.23
692,100.0,4,1.74
693,100.0,7,3.05
694,100.0,9,2.81
695,100.0,11,3.58
696,100.0,14,3.85
697,100.0,16,3.9
698,100.0,18,3.82
699,100.0,21,3.99
700,100.0,0,0.87
701,100.0,2,1.08
702,100.0,4,1.42
703,100.0,7,1.92
704,100.0,9,2.38
705,100.0,11,3.32
706,100.0,14,3.18
707,100.0,16,3.48
708,100.0,18,3.31
709,100.0,21,3.73
710,100.0,0,0.79
711,100.0,2,1.01
712,100.0,4,2.01
713,100.0,7,2.41
714,100.0,9,2.31
715,100.0,11,3.19
716,100.0,14,3.53
717,100.0,16,3.51
718,100.0,18,3.64
719,100.0,21,3.61
720,100.0,0,0.96
721,100.0,2,1.21
722,100.0,4,1.56
723,100.0,7,2.91
724,100.0,9,2.8
725,100.0,11,3.73
726,100.0,14,3.68
727,100.0,16,3.67
728,100.0,18,3.82
729,100.0,21,4.01
730,100.0,0,0.97
731,100.0,2,1.27
732,100.0,4,1.7
733,100.0,7,2.95
734,100.0,9,2.93
735,100.0,11,3.61
736,100.0,14,3.54
737,100.0,16,3.66
738,100.0,18,3.88
739,100.0,21,4.02
740,100.0,0,0.74
741,100.0,2,1.01
742,100.0,4,1.89
743,100.0,7,2.66
744,100.0,9,2.5
745,100.0,11,3.22
746,100.0,14,3.74
747,100.0,16,3.3
748,100.0,18,4.14
749,100.0,21,4.08
750,200.0,0,0.95
751,200.0,2,1.21
752,200.0,4,1.66
753,200.0,7,2.8
754,200.0,9,2.55
755,200.0,11,3.28
756,200.0,14,3.31
757,200.0,16,3.42
758,200.0,18,3.48
759,200.0,21,3.75
760,200.0,0,0.78
761,200.0,2,1.05
762,200.0,4,1.55
763,200.0,7,2.51
764,200.0,9,2.55
765,200.0,11,3.07
766,200.0,14,3.62
767,200.0,16,3.83
768,200.0,18,3.7
769,200.0,21,4.06
770,200.0,0,0.9
771,200.0,2,1.21
772,200.0,4,1.77
773,200.0,7,2.16
774,200.0,9,2.93
775,200.0,11,3.29
776,200.0,14,3.39
777,200.0,16,3.56
778,200.0,18,3.73
779,200.0,21,3.79
780,200.0,0,0.77
781,200.0,2,1.03
782,200.0,4,2.01
783,200.0,7,2.51
784,200.0,9,2.54
785,200.0,11,2.87
786,200.0,14,3.62
787,200.0,16,3.67
788,200.0,18,4.01
789,200.0,21,4.05
790,200.0,0,0.8
791,200.0,2,1.11
792,200.0,4,1.51
793,200.0,7,2.56
794,200.0,9,2.68
795,200.0,11,3.17
796,200.0,14,3.75
797,200.0,16,3.59
798,200.0,18,3.96
799,200.0,21,4.39
800,200.0,0,0.9
801,200.0,2,1.1
802,200.0,4,1.44
803,200.0,7,2.71
804,200.0,9,2.47
805,200.0,11,3.35
806,200.0,14,3.61
807,200.0,16,3.41
808,200.0,18,4.14
809,200.0,21,4.19
810,200.0,0,0.72
811,200.0,2,1.01
812,200.0,4,1.77
813,200.0,7,2.59
814,200.0,9,2.57
815,200.0,11,3.12
816,200.0,14,3.43
817,200.0,16,3.43
818,200.0,18,3.7
819,200.0,21,3.85
820,200.0,0,0.8
821,200.0,2,1.01
822,200.0,4,1.93
823,200.0,7,2.49
824,200.0,9,2.5
825,200.0,11,3.18
826,200.0,14,3.48
827,200.0,16,3.46
828,200.0,18,3.87
829,200.0,21,3.91
830,200.0,0,0.88
831,200.0,2,1.16
832,200.0,4,1.49
833,200.0,7,1.99
834,200.0,9,2.79
835,200.0,11,3.55
836,200.0,14,3.16
837,200.0,16,3.48
838,200.0,18,3.59
839,200.0,21,4.1
840,200.0,0,0.91
841,200.0,2,1.17
842,200.0,4,1.66
843,200.0,7,2.62
844,200.0,9,2.72
845,200.0,11,2.78
846,200.0,14,3.17
847,200.0,16,3.21
848,200.0,18,2.88
849,200.0,21,3.85
850,200.0,0,0.92
851,200.0,2,1.01
852,200.0,4,
853,200.0,7,
854,200.0,9,
855,200.0,11,
856,200.0,14,
857,200.0,16,
858,200.0,18,
859,200.0,21,
860,200.0,0,0.69
861,200.0,2,0.96
862,200.0,4,1.81
863,200.0,7,2.36
864,200.0,9,2.9
865,200.0,11,3.0
866,200.0,14,3.69
867,200.0,16,3.75
868,200.0,18,3.83
869,200.0,21,3.94
870,200.0,0,0.91
871,200.0,2,1.25
872,200.0,4,1.51
873,200.0,7,2.84
874,200.0,9,2.76
875,200.0,11,3.37
876,200.0,14,3.37
877,200.0,16,3.68
878,200.0,18,
879,200.0,21,
880,200.0,0,0.93
881,200.0,2,1.16
882,200.0,4,1.62
883,200.0,7,2.84
884,200.0,9,2.54
885,200.0,11,2.94
886,200.0,14,2.77
887,200.0,16,2.88
888,200.0,18,2.89
889,200.0,21,2.88
890,200.0,0,0.71
891,200.0,2,0.9
892,200.0,4,1.15
893,200.0,7,1.92
894,200.0,9,2.6
895,200.0,11,2.97
896,200.0,14,3.28
897,200.0,16,3.04
898,200.0,18,3.75
899,200.0,21,3.87
